epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1885.52,2.49648,2.59892,1.16828,0.57585,0.01735,0.0115,0.00435,3.6132,2.98881,1.36741,0.000643101,0.000643101,0.000643101
43,1928.96,2.48211,2.60034,1.16655,0.31587,0.02284,0.01296,0.00438,3.62002,2.99168,1.34486,0.000628101,0.000628101,0.000628101
44,1971.99,2.46851,2.5931,1.16341,0.06525,0.01931,0.01226,0.00451,3.63168,2.94082,1.32366,0.000612981,0.000612981,0.000612981
45,2015.9,2.47082,2.59026,1.16573,0.56779,0.02211,0.01324,0.00496,3.61512,2.94522,1.33901,0.000597754,0.000597754,0.000597754
46,2059.63,2.47224,2.59248,1.16835,0.57522,0.01992,0.01341,0.00499,3.59869,2.95968,1.35685,0.000582435,0.000582435,0.000582435
47,2109.46,2.46783,2.57403,1.16078,0.56031,0.02521,0.01374,0.00468,3.62841,2.88932,1.31202,0.00056704,0.00056704,0.00056704
48,2159.09,2.44646,2.54175,1.15161,0.56001,0.0251,0.0136,0.00494,3.5977,2.9474,1.33512,0.000551584,0.000551584,0.000551584
49,2208.94,2.46665,2.54288,1.16029,0.56513,0.02758,0.01417,0.00506,3.59409,2.91011,1.32972,0.000536081,0.000536081,0.000536081
50,2258.67,2.47815,2.56486,1.16412,0.56964,0.02457,0.01381,0.00526,3.61805,2.93019,1.34195,0.000520548,0.000520548,0.000520548
51,2307.99,2.47547,2.5608,1.16834,0.3202,0.02327,0.01447,0.00467,3.61237,2.94279,1.3496,0.000505,0.000505,0.000505
52,2348.85,2.42681,2.52362,1.15276,0.56483,0.02703,0.01488,0.00542,3.58137,2.92944,1.32899,0.000489452,0.000489452,0.000489452
53,2388.96,2.43943,2.52494,1.15871,0.57046,0.02689,0.01573,0.00547,3.59468,2.94138,1.34038,0.000473919,0.000473919,0.000473919
54,2438.24,2.44316,2.51832,1.15377,0.57511,0.02545,0.01585,0.0056,3.57442,2.91276,1.33567,0.000458416,0.000458416,0.000458416
55,2487.69,2.4297,2.5227,1.15757,0.56729,0.0279,0.01541,0.0052,3.57781,2.90661,1.31738,0.00044296,0.00044296,0.00044296
56,2534.73,2.41973,2.51093,1.15442,0.57305,0.02756,0.01514,0.00507,3.5597,2.89583,1.3532,0.000427565,0.000427565,0.000427565
57,2578.3,2.41245,2.4975,1.15168,0.57253,0.02401,0.01404,0.00495,3.57102,2.95919,1.38144,0.000412246,0.000412246,0.000412246
58,2627.8,2.43093,2.53155,1.15705,0.57595,0.02401,0.01411,0.00469,3.58219,2.9538,1.38132,0.000397019,0.000397019,0.000397019
59,2676.77,2.42533,2.50415,1.14788,0.56976,0.02467,0.01458,0.00489,3.58242,2.87612,1.33238,0.000381899,0.000381899,0.000381899
60,2723.37,2.3815,2.45958,1.14674,0.57533,0.0251,0.01496,0.00521,3.57562,2.9076,1.36077,0.000366899,0.000366899,0.000366899
61,2772.65,2.41397,2.47028,1.1465,0.56629,0.02706,0.01421,0.00493,3.58916,2.90193,1.35954,0.000352037,0.000352037,0.000352037
62,2816.56,2.3885,2.42883,1.14123,0.57152,0.02836,0.01529,0.0052,3.56521,2.86815,1.3383,0.000337325,0.000337325,0.000337325
63,2865.59,2.41084,2.46757,1.14674,0.57446,0.0272,0.01537,0.00541,3.55128,2.86873,1.3605,0.000322778,0.000322778,0.000322778
64,2915.1,2.39932,2.43234,1.14116,0.58019,0.02468,0.01584,0.00555,3.54924,2.89752,1.33606,0.000308412,0.000308412,0.000308412
65,4365.46,2.42019,2.44702,1.14388,0.57581,0.02528,0.01508,0.00528,3.56234,2.93689,1.36029,0.000294239,0.000294239,0.000294239
66,4416.41,2.40736,2.49048,1.15139,0.5678,0.02595,0.01449,0.00514,3.56703,2.94375,1.34887,0.000280275,0.000280275,0.000280275
