epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,17574.7,1.26281,1.90081,0.9572,1.08577,0,0.55433,0.52782,0.54603,0.27413,0.50497,0.48414,0.48703,0.19942,1.56004,2.48194,1.26726,1.28278,0,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,17773.9,1.26308,1.8964,0.96526,1.08617,0,0.5659,0.52626,0.54741,0.27488,0.51661,0.48032,0.48842,0.19956,1.56119,2.48437,1.267,1.28342,0,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,17971.5,1.26697,1.90254,0.93868,1.07721,0,0.56584,0.53136,0.54832,0.27568,0.51682,0.47622,0.48926,0.2004,1.56208,2.48692,1.26655,1.28394,0,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,18174.9,1.25136,1.89796,0.93914,1.07965,0,0.56796,0.53014,0.54889,0.27642,0.52218,0.49253,0.49399,0.20194,1.56232,2.4894,1.26645,1.28422,0,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,18378.2,1.25577,1.91567,0.92696,1.0749,0,0.57037,0.52839,0.54981,0.27693,0.52662,0.49607,0.49554,0.20217,1.56247,2.49098,1.26696,1.28421,0,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,18580.7,1.25466,1.90495,0.94282,1.07339,0,0.57997,0.5286,0.55335,0.27825,0.52535,0.49424,0.49655,0.20284,1.5635,2.49255,1.26571,1.28496,0,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,18781.1,1.24618,1.87566,0.9273,1.07549,0,0.58271,0.53042,0.55634,0.27865,0.53499,0.49676,0.49806,0.20228,1.56459,2.49473,1.26679,1.28564,0,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,18982.4,1.25354,1.89699,0.94301,1.08049,0,0.58692,0.54289,0.5516,0.27669,0.53277,0.50127,0.49436,0.20109,1.56508,2.496,1.2664,1.28619,0,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,19181.5,1.25245,1.89203,0.92816,1.07685,0,0.59288,0.54088,0.55865,0.27862,0.53748,0.50107,0.49934,0.20306,1.56556,2.49805,1.26716,1.28696,0,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,19380.7,1.24519,1.90053,0.9224,1.08492,0,0.59294,0.54048,0.55555,0.27692,0.56422,0.47389,0.49466,0.20152,1.56649,2.49934,1.26722,1.28777,0,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,19552.9,1.2438,1.88465,0.90103,1.07664,0,0.62307,0.5285,0.55574,0.27808,0.56078,0.47164,0.49517,0.20171,1.56735,2.50142,1.26739,1.28826,0,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,19736.6,1.24787,1.90586,0.93338,1.07874,0,0.6198,0.52688,0.55666,0.27767,0.56259,0.48102,0.49704,0.20165,1.56886,2.50371,1.26709,1.2886,0,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,19940.2,1.23763,1.85954,0.90636,1.06864,0,0.62758,0.5259,0.562,0.28006,0.56449,0.48131,0.50122,0.20347,1.56922,2.50625,1.26691,1.28892,0,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
