epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,4354.62,1.69049,2.51082,1.79209,1.34415,0,0.44603,0.49842,0.44241,0.19927,0.40979,0.42014,0.3618,0.13604,1.62027,2.55817,1.58471,1.3459,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,4554.63,1.68765,2.50586,1.77266,1.33183,0,0.48831,0.46938,0.46364,0.21241,0.46364,0.44823,0.43334,0.17272,1.61673,2.5076,1.53205,1.32415,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,4756.74,1.67327,2.51634,1.76172,1.3199,0,0.48771,0.51642,0.48056,0.2203,0.44357,0.42635,0.40825,0.15641,1.61516,2.51537,1.52451,1.32821,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,4959.89,1.65863,2.49897,1.7386,1.31109,0,0.45182,0.51069,0.46605,0.21414,0.44134,0.48886,0.42909,0.16696,1.59898,2.4941,1.51213,1.32129,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,5161.63,1.66323,2.45777,1.73933,1.32472,0,0.48762,0.4749,0.48162,0.22293,0.45264,0.44314,0.42337,0.16143,1.58972,2.49501,1.48348,1.31932,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,5363.48,1.65218,2.45853,1.70349,1.30701,0,0.49518,0.52132,0.49864,0.22984,0.47339,0.45189,0.44216,0.16699,1.56014,2.48117,1.47053,1.3018,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,5565.73,1.64511,2.45687,1.67706,1.30191,0,0.46548,0.53617,0.50254,0.23354,0.41751,0.49259,0.4346,0.16652,1.57555,2.47931,1.47199,1.31309,0,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,5768.99,1.62479,2.43875,1.65845,1.2992,0,0.4574,0.53049,0.4801,0.22963,0.42165,0.47314,0.41762,0.16117,1.56518,2.47614,1.47023,1.30582,0,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,5972.82,1.63585,2.44301,1.66583,1.30139,0,0.4796,0.52497,0.48638,0.23097,0.43137,0.47102,0.43984,0.17536,1.56403,2.46196,1.44957,1.30812,0,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,6176.58,1.62338,2.40918,1.63965,1.29247,0,0.4911,0.50831,0.48282,0.2266,0.44604,0.46201,0.42673,0.16708,1.56588,2.46665,1.44853,1.29963,0,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,6376.45,1.62376,2.4307,1.62771,1.29045,0,0.51457,0.50303,0.52218,0.24597,0.51404,0.45256,0.46878,0.18282,1.55683,2.43718,1.41809,1.30029,0,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,6577.49,1.61383,2.40505,1.6204,1.28684,0,0.50002,0.52144,0.51451,0.24981,0.47818,0.47028,0.45247,0.17629,1.548,2.42606,1.41344,1.29109,0,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,6778.02,1.60834,2.41896,1.60621,1.28292,0,0.51555,0.526,0.51487,0.24364,0.48132,0.4939,0.45881,0.18405,1.55255,2.44321,1.39742,1.29454,0,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,6979.72,1.59683,2.38997,1.563,1.27626,0,0.46729,0.53295,0.5176,0.24591,0.45743,0.45081,0.45538,0.18207,1.54936,2.4188,1.40396,1.29157,0,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,7180.5,1.61694,2.42428,1.60994,1.27759,0,0.4899,0.50113,0.5017,0.24693,0.45842,0.46373,0.45171,0.18166,1.55164,2.42296,1.39057,1.28419,0,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,7366.76,1.57905,2.35191,1.5581,1.26805,0,0.48008,0.48464,0.49258,0.24309,0.47578,0.46803,0.45554,0.18604,1.53645,2.42495,1.3859,1.28565,0,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,7570.56,1.58843,2.3605,1.53358,1.27246,0,0.49029,0.4913,0.49076,0.24041,0.49516,0.459,0.44332,0.18007,1.53486,2.42252,1.3778,1.28008,0,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,7757.18,1.58446,2.37015,1.51571,1.26286,0,0.54386,0.54192,0.53371,0.25938,0.45954,0.50667,0.46685,0.18481,1.53747,2.40798,1.36014,1.27357,0,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,7958.29,1.56848,2.34627,1.55188,1.2543,0,0.54313,0.4938,0.51006,0.249,0.50902,0.47068,0.46069,0.17939,1.53404,2.40351,1.38142,1.2772,0,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,8159.32,1.55698,2.34793,1.50997,1.25359,0,0.54974,0.48074,0.49295,0.24506,0.55775,0.44437,0.45719,0.18115,1.52993,2.39683,1.38029,1.28251,0,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,8358.56,1.55352,2.33243,1.50665,1.24447,0,0.5349,0.51007,0.52114,0.25616,0.58782,0.44906,0.46142,0.18717,1.52134,2.40002,1.36061,1.27462,0,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,8557.51,1.53541,2.3002,1.48993,1.24049,0,0.72365,0.3831,0.46055,0.22917,0.69161,0.36651,0.41585,0.16854,1.52161,2.40412,1.3761,1.27247,0,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,8759.09,1.54581,2.30993,1.48244,1.2402,0,0.50162,0.47642,0.48236,0.24092,0.50326,0.4401,0.4302,0.17199,1.515,2.39631,1.35593,1.27164,0,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,8959.38,1.54624,2.2862,1.47686,1.23202,0,0.52802,0.52285,0.51855,0.25117,0.48822,0.46235,0.45181,0.18284,1.52125,2.3858,1.3439,1.2739,0,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,9159.9,1.53196,2.28528,1.44143,1.22454,0,0.53112,0.51129,0.50683,0.25058,0.51224,0.47683,0.45518,0.18438,1.51527,2.38805,1.33988,1.26673,0,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,9358.78,1.52101,2.27207,1.43926,1.22663,0,0.4658,0.48405,0.47823,0.23985,0.43572,0.43291,0.43906,0.18035,1.51905,2.38531,1.34923,1.26558,0,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,9557.32,1.51276,2.25864,1.41877,1.2245,0,0.49142,0.55199,0.52695,0.26048,0.45272,0.49383,0.47813,0.19319,1.52041,2.38418,1.33216,1.26395,0,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,9753.63,1.51773,2.29148,1.40305,1.22474,0,0.51889,0.50517,0.51679,0.25679,0.48929,0.47175,0.47188,0.18903,1.51635,2.3873,1.32989,1.26343,0,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,9953.25,1.50791,2.26923,1.3794,1.20734,0,0.54019,0.50765,0.51285,0.25691,0.50078,0.46422,0.46303,0.1877,1.51376,2.38314,1.32384,1.26063,0,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,10155.4,1.5013,2.25527,1.40244,1.21329,0,0.54626,0.489,0.50574,0.25413,0.51385,0.4522,0.45944,0.18896,1.51442,2.38561,1.3186,1.2592,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10360,1.4927,2.22515,1.36337,1.2067,0,0.58543,0.46906,0.49545,0.25004,0.57255,0.45069,0.45767,0.18587,1.51763,2.38682,1.31868,1.26116,0,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,10563.9,1.48701,2.23954,1.3623,1.19737,0,0.56215,0.50365,0.52003,0.26301,0.52506,0.47934,0.4787,0.19691,1.521,2.38878,1.30574,1.26286,0,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,10767.7,1.47808,2.21193,1.36217,1.19803,0,0.53201,0.48055,0.50101,0.25584,0.50113,0.46132,0.46419,0.18734,1.52491,2.39241,1.30844,1.26192,0,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,10971.4,1.47141,2.19125,1.33464,1.18799,0,0.54119,0.47648,0.50041,0.25667,0.51174,0.44953,0.46101,0.18694,1.52568,2.39859,1.30611,1.26305,0,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,11175.6,1.46571,2.19268,1.32567,1.18932,0,0.5098,0.50172,0.51169,0.26218,0.49102,0.46707,0.46575,0.19034,1.52336,2.39934,1.30399,1.26204,0,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,11373.1,1.46407,2.23516,1.3116,1.18861,0,0.60401,0.46695,0.49075,0.25341,0.59249,0.44893,0.45645,0.18546,1.52152,2.401,1.31294,1.2602,0,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,11575.9,1.44862,2.20152,1.29992,1.17504,0,0.65613,0.46604,0.49508,0.25303,0.63791,0.44728,0.45903,0.18696,1.51997,2.40059,1.31201,1.25982,0,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,11778.4,1.44378,2.16096,1.29182,1.17739,0,0.65706,0.46927,0.4983,0.25358,0.63425,0.44604,0.45904,0.1857,1.5226,2.40245,1.30734,1.26174,0,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,11981.4,1.43864,2.16226,1.26964,1.17886,0,0.53472,0.46696,0.49959,0.25296,0.51258,0.44612,0.45768,0.18413,1.52394,2.40552,1.30239,1.26163,0,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,12183.4,1.44651,2.1731,1.2443,1.17643,0,0.6073,0.47052,0.50651,0.2571,0.58113,0.44588,0.46025,0.18495,1.52251,2.40467,1.29783,1.25986,0,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,12386.5,1.42197,2.14242,1.25432,1.16435,0,0.60338,0.47117,0.52468,0.26291,0.60893,0.44039,0.46644,0.18955,1.5238,2.40633,1.29199,1.2601,0,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,12589.3,1.43377,2.13769,1.24865,1.16149,0,0.49479,0.51203,0.51571,0.26215,0.55162,0.43979,0.46252,0.18827,1.52415,2.40635,1.29017,1.26068,0,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,12791.2,1.40672,2.11495,1.22464,1.15074,0,0.58734,0.465,0.50631,0.25882,0.6129,0.42417,0.45693,0.1852,1.52307,2.41161,1.29233,1.26148,0,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,12994.8,1.41179,2.11822,1.20492,1.15078,0,0.57573,0.46542,0.50954,0.26036,0.61498,0.42406,0.45741,0.18593,1.52583,2.41652,1.29189,1.26295,0,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,13197.8,1.39694,2.07791,1.18435,1.15236,0,0.51321,0.49981,0.51705,0.26309,0.57672,0.42275,0.4595,0.18684,1.52959,2.42112,1.28622,1.2666,0,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,13397.4,1.38851,2.06413,1.1548,1.13926,0,0.51262,0.49722,0.51894,0.26716,0.49452,0.46713,0.46444,0.19058,1.53226,2.427,1.28475,1.26831,0,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,13594.3,1.37575,2.07689,1.14563,1.13473,0,0.52286,0.49144,0.51434,0.26387,0.5769,0.42483,0.4611,0.19169,1.53523,2.43038,1.28174,1.27023,0,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,13790.8,1.375,2.07917,1.16708,1.13847,0,0.51795,0.48639,0.5149,0.26488,0.57439,0.42859,0.46499,0.19078,1.53682,2.43435,1.27998,1.27136,0,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,13987.7,1.37061,2.06528,1.13862,1.13837,0,0.52098,0.48789,0.51779,0.26563,0.53294,0.44387,0.46493,0.18959,1.53869,2.43777,1.28179,1.27247,0,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,14184.3,1.35753,2.02515,1.10566,1.12882,0,0.5373,0.49944,0.51797,0.26528,0.52298,0.44215,0.46774,0.19118,1.5422,2.4413,1.28036,1.27443,0,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,14381.3,1.36147,2.05335,1.09836,1.12982,0,0.51081,0.51019,0.51747,0.26393,0.51429,0.45372,0.46752,0.19366,1.54449,2.44333,1.27894,1.27522,0,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,14582.1,1.35381,2.05463,1.10035,1.12516,0,0.51897,0.50621,0.51802,0.26497,0.50722,0.45075,0.46933,0.19371,1.54595,2.44616,1.27802,1.27596,0,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,14782.7,1.36162,2.03912,1.08248,1.12876,0,0.52682,0.50177,0.52026,0.26579,0.49334,0.4676,0.47109,0.19379,1.54684,2.44588,1.27593,1.27605,0,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,14982.6,1.32892,1.99778,1.06869,1.11881,0,0.52803,0.50069,0.5222,0.26527,0.51602,0.45152,0.47231,0.19494,1.54697,2.44938,1.27457,1.27563,0,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,15180.4,1.32891,1.99531,1.05913,1.11201,0,0.5431,0.4945,0.52393,0.26726,0.53615,0.44406,0.4723,0.19501,1.5474,2.45134,1.27396,1.27636,0,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,15380.3,1.31284,1.98862,1.05468,1.10746,0,0.54598,0.49424,0.5254,0.26743,0.53769,0.44429,0.47356,0.19476,1.54904,2.45394,1.27355,1.27722,0,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
