epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.996,3.37751,4.42154,1.68961,0.25851,0.00927,0.0022,0.00055,3.98042,3.42083,1.47131,0.000199401,0.000199401,0.0802593
2,223.769,2.96393,3.08968,1.3788,0.03972,0.00991,0.00527,0.00165,3.99655,3.29243,1.64854,0.000361643,0.000361643,0.0604215
3,316.209,2.87946,3.00687,1.32771,0.27059,0.01369,0.00808,0.00216,3.88302,3.48888,1.33129,0.000394384,0.000394384,0.0404543
4,410.031,2.77552,2.90645,1.26715,0.04027,0.02284,0.00775,0.00274,3.79259,3.26753,1.40039,0.000281418,0.000281418,0.0203413
5,488.656,2.68063,2.82019,1.24467,0.04977,0.01475,0.00748,0.00276,3.7474,3.21216,1.40914,0.000104474,0.000104474,0.000164354
