epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,5504.91,1.46473,2.22725,1.25659,1.17784,0,0.64982,0.49049,0.56146,0.27695,0.56414,0.44346,0.47914,0.19741,1.54346,2.42059,1.32426,1.26395,0,0.000414688,0.000414688,0.000414688
29,5670.64,1.45131,2.21697,1.25183,1.17098,0,0.61669,0.53888,0.56974,0.2841,0.56124,0.49292,0.50424,0.20579,1.52987,2.42972,1.29498,1.25812,0,0.00038375,0.00038375,0.00038375
30,5835.38,1.46072,2.21364,1.23349,1.1687,0,0.58596,0.56417,0.57695,0.28808,0.55314,0.52732,0.52544,0.20628,1.54262,2.43287,1.28365,1.26717,0,0.000352812,0.000352812,0.000352812
31,6000.47,1.44985,2.19655,1.21715,1.15916,0,0.61359,0.54294,0.56937,0.28483,0.54877,0.5174,0.51015,0.20741,1.53232,2.41466,1.28512,1.25947,0,0.000321875,0.000321875,0.000321875
32,6165.04,1.44151,2.19455,1.20281,1.16918,0,0.61236,0.53427,0.5719,0.28464,0.56177,0.48042,0.50264,0.2092,1.53085,2.42813,1.28159,1.25243,0,0.000290937,0.000290937,0.000290937
33,6329.84,1.4311,2.17683,1.17565,1.15439,0,0.63259,0.53521,0.5897,0.29152,0.58753,0.48125,0.52908,0.22093,1.53632,2.42102,1.27509,1.25933,0,0.00026,0.00026,0.00026
34,6495.61,1.42805,2.16564,1.16679,1.15722,0,0.62654,0.536,0.58504,0.29159,0.6029,0.47697,0.52675,0.21249,1.52759,2.42152,1.2774,1.25305,0,0.000229063,0.000229063,0.000229063
35,6660.97,1.41233,2.17276,1.15411,1.15095,0,0.6148,0.54937,0.58848,0.296,0.56264,0.4892,0.51468,0.21135,1.52372,2.42491,1.26259,1.25306,0,0.000198125,0.000198125,0.000198125
36,6826.13,1.40869,2.14846,1.1454,1.15097,0,0.66256,0.53377,0.5991,0.29592,0.57667,0.5186,0.53652,0.21874,1.53076,2.41895,1.26753,1.25848,0,0.000167188,0.000167188,0.000167188
37,6991.4,1.40368,2.12098,1.13687,1.14553,0,0.64333,0.56933,0.60913,0.2957,0.58645,0.51548,0.53537,0.21754,1.5317,2.41968,1.25929,1.25833,0,0.00013625,0.00013625,0.00013625
38,8583.66,1.39429,2.13631,1.12501,1.14346,0,0.61429,0.56352,0.60415,0.29542,0.60867,0.49459,0.53557,0.21617,1.5312,2.41467,1.25759,1.25622,0,0.000105312,0.000105312,0.000105312
39,8749.01,1.39167,2.13115,1.1134,1.13879,0,0.6151,0.5636,0.59746,0.2938,0.56309,0.52837,0.54502,0.22012,1.53281,2.4156,1.25304,1.25559,0,7.4375e-05,7.4375e-05,7.4375e-05
40,8914.29,1.3811,2.12228,1.10312,1.13263,0,0.60463,0.56638,0.60118,0.29552,0.57162,0.50849,0.5361,0.22088,1.53106,2.42393,1.25565,1.25573,0,4.34375e-05,4.34375e-05,4.34375e-05
