epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5484.49,2.1025,2.50226,1.59127,0.5414,0.01323,0.00641,0.00134,4.09584,3.21418,1.29739,0.00935741,0.00935741,0.00935741
43,5609.29,2.08256,2.49066,1.57989,0.56889,0.01356,0.00915,0.00217,4.0379,3.17623,1.34325,0.00932642,0.00932642,0.00932642
44,5734.14,2.09693,2.49331,1.57836,0.53833,0.01639,0.00747,0.00137,4.17144,3.20086,1.2948,0.00929476,0.00929476,0.00929476
45,5860.7,2.07247,2.47802,1.58273,0.55371,0.01825,0.01039,0.00274,4.0171,3.16751,1.27527,0.00926242,0.00926242,0.00926242
46,5987.93,2.08787,2.48866,1.58154,0.55116,0.0175,0.00906,0.00211,4.08063,3.18561,1.28326,0.00922942,0.00922942,0.00922942
47,6111.14,2.08448,2.48651,1.57536,0.55986,0.01684,0.00996,0.0026,3.9746,3.18835,1.32703,0.00919576,0.00919576,0.00919576
48,6235,2.06668,2.46211,1.57644,0.56397,0.01466,0.00967,0.00205,4.09791,3.1947,1.30624,0.00916145,0.00916145,0.00916145
49,6358.76,2.06522,2.47382,1.57233,0.54718,0.01743,0.00863,0.00148,4.17431,3.19466,1.25916,0.00912649,0.00912649,0.00912649
50,6484,2.06506,2.47445,1.57401,0.54569,0.01932,0.00897,0.00177,4.14597,3.22647,1.28982,0.00909088,0.00909088,0.00909088
51,6610.19,2.08831,2.4778,1.57305,0.55048,0.01775,0.01008,0.00205,4.05738,3.16977,1.2755,0.00905463,0.00905463,0.00905463
52,6733.58,2.05716,2.45018,1.56806,0.54679,0.01742,0.00908,0.00178,4.11438,3.16689,1.26639,0.00901776,0.00901776,0.00901776
53,6858.17,2.06729,2.4576,1.57933,0.54716,0.01904,0.00901,0.00165,4.12203,3.20579,1.31704,0.00898025,0.00898025,0.00898025
54,6982.11,2.07211,2.45597,1.56603,0.55206,0.01978,0.01025,0.0019,4.12125,3.19538,1.28527,0.00894213,0.00894213,0.00894213
55,7105.62,2.05568,2.43665,1.56867,0.5493,0.0211,0.011,0.00225,4.03084,3.20699,1.27872,0.00890339,0.00890339,0.00890339
56,7225.12,2.06276,2.45097,1.56227,0.56827,0.01558,0.00945,0.00185,4.03513,3.23064,1.28853,0.00886404,0.00886404,0.00886404
57,7346.95,2.04514,2.42209,1.55476,0.56114,0.01858,0.01051,0.00256,3.93882,3.1444,1.29707,0.00882409,0.00882409,0.00882409
58,7470.91,2.05036,2.4422,1.57363,0.55353,0.01975,0.01063,0.00236,4.01101,3.16143,1.29962,0.00878354,0.00878354,0.00878354
59,7594.81,2.03888,2.43473,1.56103,0.55521,0.01421,0.00974,0.00283,3.91534,3.20319,1.3822,0.00874241,0.00874241,0.00874241
60,7720.32,2.04625,2.42306,1.5605,0.54625,0.02159,0.0108,0.0028,3.95832,3.12545,1.27331,0.00870069,0.00870069,0.00870069
61,7845.02,2.05535,2.43675,1.5655,0.55101,0.02138,0.01102,0.00266,4.01258,3.1505,1.29769,0.00865839,0.00865839,0.00865839
62,7970.35,2.04046,2.4273,1.5631,0.56383,0.02066,0.01174,0.00306,3.98841,3.11832,1.32787,0.00861553,0.00861553,0.00861553
63,8096.28,2.04417,2.42717,1.56011,0.56315,0.01608,0.01035,0.00271,3.9805,3.14689,1.29147,0.0085721,0.0085721,0.0085721
64,8219.66,2.02863,2.41432,1.55569,0.55627,0.01995,0.01109,0.00249,4.05705,3.11626,1.25738,0.00852812,0.00852812,0.00852812
65,8344.76,2.05176,2.42439,1.56427,0.56068,0.01885,0.01188,0.00362,3.94198,3.13973,1.33369,0.00848358,0.00848358,0.00848358
66,8467.9,2.03348,2.40762,1.55225,0.55798,0.02013,0.01182,0.00269,4.02155,3.13562,1.30459,0.00843851,0.00843851,0.00843851
67,8593.62,2.02577,2.40694,1.55955,0.5596,0.02044,0.01234,0.00311,4.00964,3.10583,1.30388,0.0083929,0.0083929,0.0083929
68,8718.94,2.0385,2.39051,1.54757,0.55799,0.01751,0.00994,0.00251,3.96749,3.10406,1.2931,0.00834676,0.00834676,0.00834676
69,8845.17,2.02892,2.39045,1.55367,0.55915,0.01857,0.01105,0.00265,3.94731,3.11995,1.31208,0.0083001,0.0083001,0.0083001
70,8970.08,2.01506,2.39424,1.54828,0.55515,0.02193,0.01104,0.00266,3.99171,3.1,1.29495,0.00825293,0.00825293,0.00825293
71,9095.43,2.03009,2.38664,1.54287,0.5579,0.02086,0.01221,0.0032,3.99636,3.12933,1.29584,0.00820525,0.00820525,0.00820525
72,9223.31,2.01822,2.38755,1.54577,0.56075,0.02016,0.01229,0.00323,3.95726,3.11821,1.29898,0.00815707,0.00815707,0.00815707
73,9346.65,2.0296,2.37928,1.54568,0.55859,0.01967,0.01152,0.00302,3.98015,3.08839,1.28197,0.00810841,0.00810841,0.00810841
74,9467.21,2.01465,2.38215,1.54482,0.55448,0.02118,0.01187,0.00263,3.99978,3.08381,1.28354,0.00805925,0.00805925,0.00805925
75,9590.32,2.01477,2.37726,1.545,0.55875,0.01914,0.01225,0.00332,3.94275,3.08878,1.28902,0.00800963,0.00800963,0.00800963
76,9715.32,2.0334,2.3748,1.54853,0.56226,0.02184,0.01269,0.00322,3.94859,3.07975,1.28002,0.00795954,0.00795954,0.00795954
77,9840.1,2.01487,2.38083,1.53906,0.56472,0.0207,0.01226,0.00288,3.95337,3.10007,1.27156,0.00790898,0.00790898,0.00790898
78,9964.97,2.01252,2.36061,1.54143,0.57227,0.02214,0.01405,0.00307,4.02159,3.0861,1.26645,0.00785798,0.00785798,0.00785798
79,10085.2,2.00869,2.36455,1.53575,0.56176,0.02079,0.01224,0.00356,3.93439,3.08512,1.29759,0.00780653,0.00780653,0.00780653
80,10208.1,2.00181,2.35504,1.53701,0.56587,0.02009,0.01213,0.00372,3.90233,3.08981,1.30186,0.00775465,0.00775465,0.00775465
81,10333.4,1.99058,2.35713,1.53455,0.56072,0.02041,0.01169,0.00363,3.85948,3.09314,1.31477,0.00770234,0.00770234,0.00770234
82,10454.3,2.0094,2.35268,1.54072,0.56385,0.02008,0.01214,0.0035,3.90349,3.11309,1.29895,0.00764961,0.00764961,0.00764961
83,10573.1,2.01788,2.35762,1.53771,0.56139,0.02086,0.01217,0.0034,3.89731,3.07796,1.30358,0.00759648,0.00759648,0.00759648
84,10692.5,2.02409,2.35562,1.53622,0.56084,0.02189,0.01205,0.00311,3.89647,3.07318,1.29182,0.00754293,0.00754293,0.00754293
85,10811.9,2.00307,2.34516,1.53655,0.55966,0.02203,0.01221,0.00313,3.91636,3.06801,1.27854,0.007489,0.007489,0.007489
86,10937.3,2.00442,2.3428,1.53386,0.56042,0.02132,0.01287,0.0034,3.92456,3.06497,1.28369,0.00743468,0.00743468,0.00743468
87,11061.6,2.00725,2.33855,1.52725,0.5591,0.02332,0.01382,0.00374,3.87433,3.06863,1.29923,0.00737998,0.00737998,0.00737998
88,11188.8,2.0043,2.32938,1.53203,0.55856,0.02118,0.01199,0.00323,3.92666,3.06051,1.27599,0.00732492,0.00732492,0.00732492
89,11312.3,1.98644,2.31552,1.52904,0.56162,0.02145,0.01261,0.00318,3.94474,3.05082,1.2675,0.0072695,0.0072695,0.0072695
90,11436.8,1.99953,2.33416,1.53226,0.5574,0.02261,0.01275,0.00266,3.97035,3.06887,1.28636,0.00721372,0.00721372,0.00721372
91,11561.4,1.99685,2.32553,1.53856,0.55405,0.01968,0.01139,0.00331,3.88623,3.07119,1.30875,0.00715761,0.00715761,0.00715761
92,11685.3,1.99074,2.32768,1.53164,0.56008,0.02107,0.0123,0.00334,3.8878,3.06204,1.29603,0.00710116,0.00710116,0.00710116
93,11810.6,1.97582,2.29547,1.52265,0.56055,0.02367,0.01292,0.00301,3.93226,3.05683,1.27817,0.00704439,0.00704439,0.00704439
94,11931.1,1.98746,2.32293,1.53738,0.55595,0.0247,0.01346,0.00308,3.94967,3.0635,1.28314,0.0069873,0.0069873,0.0069873
